Unnamed: 0,Id,LLM,role_shorten,story,Implied ethical needs,nfr_type,label
A21,US4,Llama,researcher,"As a researcher, I want to investigate the potential harm that biased evaluations can cause to workers' employment opportunities on online freelancing marketplaces.",Non-maleficence -  Responsibility - Justice/fairness,,No
A36,US3,O1-mini,Network engineer,"As a network engineer, I want to implement a distributed wireless sensor network for vehicle classification, so that I can ensure scalable and reliable data collection across various locations.",,Scalability -  Reliability,Yes
A5,US1,Gemini,healthcare professional,"As a healthcare staff member, I want to efficiently deliver items using the robot to reduce my workload and improve patient care.",,Efficiency -  Usability,Yes
A23,US3,Llama,user,"As a user, I want to know when different search engines favor certain sites or points of view so that I can make informed decisions about the information I consume.",Transparency,Explainability -  Interpretability -  Bias,Yes
A26,US2,Llama,researcher,"As a researcher, I want to develop new methods and datasets for generating high-quality review justifications that are relevant to users' decision-making processes.",,,No
A37,US5,O1-mini,manager,"As a fantasy league manager, I want to implement data-driven decision-making tools, so that I can enhance the competitiveness and fairness of my league.",Justice/fairness,Fairness,Yes
A8,US6,O1-mini,manager,"As a healthcare manager, I want detailed reports on detected anomalies, so I can evaluate the effectiveness of our monitoring services and make informed decisions.",,Accuracy -  Completeness -  Traceability,Yes
A3,US4,O1-mini,researcher,"As a researcher, I want to analyze detected aggression, sarcasm, racism, and sexism in real-time, so I can study trends and patterns in online behavior.",,Performance,Yes
A23,US5,O1-mini,developer,"As a search engine developer, I want to utilize insights from PAWS, so that I can improve our ranking algorithms to ensure balanced and fair search results.",Justice/fairness,Fairness -  Bias,Yes
A29,US5,Llama,researcher,"As a researcher, I want to train an algorithm to replicate how a well-trained and consistent researcher would create a linked sample across sources, so that I can minimize both false positives and false negatives in the linking process.",,,No
A40,US2,Gemini,analyst,"As a security analyst at Pokec, I need to utilize the anomaly model trained on historical login data to effectively identify compromised accounts, enhancing the safety and trustworthiness of the network.",Security/Non-maleficence - Trust,,No
A41,US6,O1-mini,data engineer,"As a benchmark dataset curator, I want to use the ISIA Food-500 dataset as a standard for evaluating food recognition models, so that I can ensure consistency and comparability across different research studies.",,,No
A9,US9,Gemini,user,"As a user of the system, I want a user-friendly interface that allows me to easily input patient data and receive clear results.",,Usability,Yes
A1,US9,O1-mini,strategist,"As a business strategist, I want to leverage AI and IoT in AVs to explore new market opportunities, so that the company can expand its revenue streams.",,,No
A26,US9,Gemini,consumer,"As a consumer of online information, I want to be able to critically evaluate recommendations and justifications, making informed choices about the content I consume.",,,No
A4,US4,Llama,military commander,"As a military commander, I want to leverage AI-powered drones for combat and non-combat operations, so that I can gain a tactical advantage on the ground and improve mission success.",,,No
A3,US7,O1-mini,developer,"As a developer, I want the framework to integrate seamlessly with existing Twitter infrastructure, so deployment is efficient and does not disrupt service.",,Interoperability,Yes
A9,US5,Gemini,patient,"As a patient undergoing a heart disease diagnosis, I want to be assured that the tools used are accurate and up-to-date with the latest medical data.",,Accuracy -  Maintainability,Yes
A33,US1,Gemini,journalist,"As a journalist, I want to quickly access and analyze relevant information from past news articles to inform my reporting and provide context for current events.",,Efficiency,Yes
A19,US9,O1-mini,customer,"As a customer service manager, I want to use the prediction modelâ€™s insights to proactively address potential default risks, so that we can offer support to customers before defaults occur.",Beneficence,,No
A31,US10,O1-mini,researcher,"As a researcher in web technologies, I want to evaluate the effectiveness of different ad prediction methods, so that I can contribute to the advancement of advertisement filtering systems.",,,No
A1,US3,O1-mini,driver,"As a driver, I want the AV to predict and prevent collisions using AI, so that accidents are significantly reduced.",Non-maleficence(Safety),,No
A24,US3,O1-mini,data scientist,"As a data scientist, I want a probabilistic framework to resolve name ambiguities, so that researcher profiles are accurately matched to their publications.",,,No
A17,US10,Gemini,IT specialist,"As a healthcare IT specialist, I am tasked with ensuring that the data from sleep studies are securely handled and that the systems integrating this new predictive technology comply with medical data regulations and privacy laws.",Privacy - Non-maleficence(Security),Security - Privacy,Yes
A7,US7,Gemini,advocate,"As a privacy advocate, I want to be assured that the tool protects user data confidentiality and complies with privacy regulations.",Privacy,Privacy,Yes
A6,US4,O1-mini,developer,"As a developer, I want to use Gaussian Mixture Models to analyze driving data, so that the ADAS can effectively recognize and adapt to different driving behaviors.",,,No
A11,US8,Gemini,manufacturer,"As a manufacturer, I want the ML-ACS to integrate with existing design and printing workflows, streamlining the incorporation of secure CDPs into product packaging.",,Interoperability,Yes
A16,US9,Llama,developer,"As a developer, I want to design a system that can achieve an F-measure of over 80% in identifying unhealthy newborns, so that I can develop a highly accurate diagnostic system.",,Accuracy,Yes
A42,US4,Gemini,policymaker,"As a policymaker concerned with healthcare equity, I want to use the model to ensure that vaccine distribution strategies address the needs of underserved and marginalized communities.",,Fairness,Yes
A15,US1,Gemini,policymaker,"As a policymaker, I want to use machine learning to identify communities with high poverty rates so I can target resources and programs effectively.",Beneficence,,No
A25,US8,O1-mini,UX designer,"As a UX designer, I want to integrate seamless recommendation features into the online store interface, so that customers can effortlessly discover new products without feeling overwhelmed.",,Interoperability,Yes
A29,US7,Llama,scholar,"As a scholar, I want to follow a step-by-step procedure for linking historical records, with clear guidance on practical questions such as how large the training data needs to be relative to the sample, so that I can confidently apply the technique to my own research.",Transparency,,No
A19,US1,Gemini,analyst,"As a bank risk analyst, I want to use a model that accurately predicts which credit card customers are most likely to default on their payments, allowing me to make better lending decisions and reduce financial losses for the bank.",,Accuracy,Yes
A25,US6,Gemini,researcher,"As a researcher studying user behavior, I want to understand how different recommendation algorithms compare in terms of accuracy, scalability, and user satisfaction.",Transparency,,No
A14,US1,O1-mini,city planner,"As a city planner, I want to use the XGBoost model to predict taxi and Uber ridership across NYC zip codes, so that I can optimize the placement of transportation resources.",,,No
A8,US3,Gemini,developer,"As a healthcare provider using smart health data, I want machine learning algorithms like K-means clustering to detect early-stage anomalies that might indicate potential health problems.",Beneficence - Non-maleficence,,No
A19,US4,O1-mini,developer,"As a software developer, I want to integrate the random forest prediction model into the bankâ€™s existing credit management system, so that real-time credit risk assessments can be performed efficiently.",,Interoperability - Efficiency,Yes
A34,US5,O1-mini,engineer,"As a machine learning engineer, I want to optimize DNN hyperparameters using methods applied to the KDDCup 99 dataset, so that my IDS models achieve optimal performance and reliability.",,Performance -  Reliability,Yes
A27,US4,Gemini,music streaming service provider,"As a music streaming service provider, I want to recommend songs to users based on the music they've recently listened to, even if they haven't built up a large listening history.",,,No
