Unnamed: 0,Id,LLM,role_shorten,story,Implied ethical needs,nfr_type,label
A41,US8,O1-mini,instructor,"As a academic instructor, I want to utilize the ISIA Food-500 dataset in my curriculum, so that students can work with a comprehensive and large-scale dataset for projects and assignments in food recognition.",,,No
A40,US1,O1-mini,user,"As a social network user, I want my account to be automatically monitored for unusual login behavior, so that I can be alerted and protected from potential compromises.",,Security -  Reliability,Yes
A11,US1,O1-mini,analyst,"As a security engineer, I want to generate accurate printed CDP from digital templates, so that anti-counterfeiting features are reliably produced across various printing devices.",,Accuracy -  Reliability,Yes
A16,US10,Gemini,advocate,"As an ethicist, I want to ensure that this system is used responsibly and ethically, with clear guidelines for data privacy and protection of sensitive information.",Privacy - Responsibility,Privacy - Security,Yes
A27,US4,Llama,customer,"As a customer, I want to receive personalized recommendations that are based on my current browsing behavior and preferences, even if I'm a new user or don't have a long history of interactions with the website.",,,No
A35,US2,O1-mini,logistics coordinator,"As a logistics coordinator, I want precise sales forecasts, so that I can efficiently manage outgoing invoices and uninvoiced shipments to reduce costs.",,Accuracy,Yes
A30,US6,Gemini,data scientist,"As a data scientist, I want to build and improve machine learning models that can accurately predict recidivism while minimizing bias and ensuring fairness.",Justice/fairness,Accuracy -  Fairness -  Bias,Yes
A3,US1,Gemini,developer,"As a social media platform developer, I want a system that can detect aggressive content on my platform in real-time so that I can promote a safer and more positive user experience.",,Performance,Yes
A11,US5,Gemini,data scientist,"As a data scientist, I want the system to allow for training with paired, unpaired, or hybrid datasets depending on data availability.",,Flexibility -  Adaptability,Yes
A7,US3,Llama,developer,"As a developer, I want to create a monitoring tool that uses machine learning algorithms to detect deviant behavior in individuals, enabling early intervention and support.",,,No
A39,US4,O1-mini,strategist,"As a marketing strategist for a music streaming service, I want to leverage insights from playlist success predictions, so that I can develop targeted campaigns that promote popular playlists and increase user engagement.",,,No
A39,US4,Llama,music streamer,"As a music streamer, I want to identify the factors that drive engagement on popular playlists, so I can offer personalized recommendations to my users.",,,No
A38,US9,Llama,HR specialist,"As an HR specialist, I want to use the system to reduce the time and cost associated with manual shortlisting of candidates, so I can optimize the recruitment process.",,Efficiency,Yes
A10,US4,Gemini,researcher,"As a researcher studying diabetes management, I want to explore the potential of using this model to improve the overall health outcomes for people with diabetes.",,,No
A38,US5,O1-mini,candidate,"As a candidate, I want to take a personality quiz online, so that I can demonstrate my suitability for the job beyond my resume.",,,No
A16,US7,Llama,neonatologist,"As a neonatologist, I want to use a system that can identify unhealthy newborns non-invasively, so that I can provide timely interventions and improve patient outcomes.",,,No
A11,US7,O1-mini,researcher,"As a researcher, I want to evaluate the influence of various architectural factors, metrics, and discriminators on system performance, so that I can optimize the digital twin for accurate CDP generation and prediction.",,Performance -  Accuracy,Yes
A4,US7,Gemini,defense contractor,"As a defense contractor, I want to develop AI-powered weapons systems that operate with high precision and minimize civilian casualties.",,Accuracy -  Reliability,Yes
A6,US10,Gemini,instructor,"As a driving instructor, I want educational resources that explain ADAS features and how driver behavior can influence the system's response, promoting responsible use and driver awareness.",Transparency,Transparency,Yes
A22,US5,O1-mini,manager,"As a hiring manager, I want detailed insights into multiple dimensions of a freelancerâ€™s capabilities, so that I can select the most suitable candidate for each specific job requirement.",,,No
A30,US3,Llama,data scientist,"As a data scientist, I want to develop machine-learning models that can identify individual characteristics of convicts that affect their propensity to commit criminal recidivism, so that I can help predict and prevent future crimes.",,,No
A21,US3,Llama,analyst,"As an analyst, I want to examine the correlation between perceived gender and race with worker evaluations on TaskRabbit and Fiverr so that I can identify potential biases.",Justice/fairness - Transparency,,No
A22,US10,O1-mini,researcher,"As an academic researcher, I want access to the assessment frameworkâ€™s evaluation data, so that I can study its effectiveness in improving hiring outcomes in online labor marketplaces.",,,No
A9,US1,Gemini,healthcare provider,"As a doctor diagnosing heart disease, I want a fast and accurate prediction tool that can handle missing data in patient records.",,Performance -  Accuracy,Yes
A2,US1,O1-mini,parent,"As a parent, I want to receive real-time alerts when my child shows aggressive behavior, so I can intervene immediately.",,Performance -  Reliability,Yes
A29,US10,O1-mini,student,"As a doctoral student, I want to utilize the described record linkage method in my research, so that I can explore new avenues in economic history using comprehensive and accurately linked data.",,,No
A4,US6,O1-mini,strategist,"As a strategic planner, I want drones equipped with AI to analyze and predict enemy movements, so that I can make informed decisions to counteract threats.",,Accuracy,Yes
A7,US9,Llama,user,"As an individual, I want to use a mental health monitoring tool to track my mental health and receive alerts and notifications when I may be at risk of mental health problems.",,Reliability,Yes
A26,US5,O1-mini,product manager,"As a product manager, I want to leverage personalized generation models to create diverse justifications, so that our recommendation system stands out by offering convincing and varied explanations to users.",Transparency,Interpretability,Yes
A20,US1,Gemini,healthcare professional,"As a healthcare professional, I want to input a person's personality traits (Big Five), sensation seeking scores, impulsivity measures, and demographic information into a system to predict their likelihood of drug abuse.",,,No
A23,US2,O1-mini,advocate,"As a transparency advocate, I want to use the PAWS platform to analyze search engine biases, so that I can promote fair and unbiased access to web information.",Justice/fairness - Transparency,Fairness -  Bias,Yes
A41,US3,Gemini,researcher,"As an academic, I want a well-documented and publicly available benchmark dataset to compare my research results with others in the field.",,,No
A38,US2,Gemini,recruiter,"As a recruiter, I want to save time and effort by using a system that automatically screens resumes and assesses candidates' personalities.",,Efficiency,Yes
A28,US4,O1-mini,UX designer,"As a user experience designer, I want to build an objective profile library from speed dating ratings, so that users receive recommendations based on real-life interactions and evaluations.",,,No
A28,US4,Gemini,developer,"As a developer of dating apps or platforms, I want to integrate real-world data from speed dating events into my system to provide users with more accurate and personalized recommendations.",,,No
A22,US9,Llama,researcher,"As a researcher, I want to compare the performance of the proposed framework with a baseline algorithm so that I can quantify the improvement in hiring decisions.",,,No
A10,US1,Gemini,person,"As a person with type 1 diabetes, I want a tool that can predict potential drops in my blood sugar levels 30 minutes in advance so I can take preventative action and avoid hypoglycemia.",,Performance,Yes
A18,US8,Gemini,advocate,"As a patient advocate, I want to ensure that this technology is accessible and affordable for all patients, regardless of their location or socioeconomic background.",Justice/fairness ,Adaptability,Yes
A30,US4,Gemini,social worker,"As a social worker or rehabilitation specialist, I want to identify individuals who are most likely to benefit from specific rehabilitation programs and services to reduce their risk of recidivism.",Beneficence,,No
A12,US10,O1-mini,researcher,"As a public health researcher, I want the FVVI to incorporate diverse population characteristics, so that the model remains robust and inclusive across different urban settings.",Justice/fairness,Fairness,Yes
A15,US2,O1-mini,data scientist,"As a data scientist, I want to apply data mining strategies to analyze income distribution, so that I can identify key factors contributing to the wealth and income gap in the United States.",,,No
A42,US5,O1-mini,vaccination site coordinator,"As a mobile vaccination site coordinator, I want to know which locations maximize vaccine uptake among hesitant demographic groups, so that I can allocate resources where they are most needed and effective.",,,No
A1,US5,Llama,business owner,"As a business owner, I want to explore the new market opportunities and revenue streams that Autonomous Vehicles (AVs) can offer, so that I can expand my business and stay competitive in the industry.",,,No
A7,US3,Gemini,mental health professional,"As a mental health professional, I want access to machine learning models that can support early detection of mental illness and inform better treatment decisions.",Beneficence,Reliability,Yes
A20,US1,Llama,researcher,"As a researcher, I want to analyze the relationship between drug abuse and various factors such as personality traits, sensation seeking, impulsivity, and demographic information so that I can identify the elements that lead to drug abuse.",,,No
A7,US2,O1-mini,mental health professional,"As a mental health professional, I want access to predictive analytics on patients' mental states, so I can provide proactive and personalized care.",,,No
A26,US5,Llama,customer,"As a customer, I want to see justifications for recommended products that cover different aspects of the product, so that I can make a more informed decision.",Transparency,Completeness -  Explainability -  Interpretability,Yes
A9,US2,Llama,data scientist,"As a data scientist, I want to use machine learning techniques with incremental updates to analyze large collections of medical datasets for disease diagnosis, reducing the computation time and improving predictive accuracy.",,,No
A6,US3,Gemini,researcher,"As a safety researcher evaluating ADAS performance, I want to understand how driver intention recognition using Gaussian Mixture Models (GMM) can improve the effectiveness of forward collision avoidance (FCA) and autonomous emergency braking (AEB) systems.",Transparency,Explainability,Yes
A23,US9,Llama,developer,"As a web developer, I want to ensure the PAWS platform can identify and minimize biases in search engine rankings so that users can access more balanced information.",Justice/fairness,Fairness -  Bias,Yes
