Unnamed: 0,Id,LLM,role_shorten,story,Implied ethical needs,nfr_type,label
A12,US6,O1-mini,analyst,"As a public safety analyst, I want the FVVI to forecast shooting incident rates at a granular geographic level, so that I can implement timely interventions.",,,No
A7,US1,O1-mini,user,"As an individual, I want to receive early alerts about potential mental health issues, so I can seek timely support and maintain my well-being.",,Reliability,Yes
A5,US8,Llama,quality assurance specialist,"As a Quality Improvement Specialist, I want to analyze data and metrics on the GoCart robot's performance and efficiency so that I can identify areas for improvement and optimize its use.",,Performance -  Efficiency,Yes
A31,US3,O1-mini,developer,"As a web browser developer, I want to integrate ad identification features, so that users can easily manage and block unwanted advertisements while browsing.",,Interoperability,Yes
A12,US3,O1-mini,policymaker,"As a policymaker, I want access to the FVVIâ€™s predictions, so that I can allocate resources to areas most vulnerable to firearm violence.",Beneficence,,No
A18,US8,Llama,patient,"As a patient, I want to receive a timely and accurate diagnosis of pleural effusion and consolidation diseases, so that I can receive prompt and effective treatment.",,Accuracy - Performance,Yes
A9,US7,Llama,healthcare provider,"As a clinician, I want to use a clinical decision support system that can learn from new data incrementally, improving its predictive accuracy over time without requiring retraining from scratch.",,Retrainability -  Accuracy,Yes
A30,US3,Gemini,judge or magistrate,"As a judge or magistrate, I want to have access to objective and reliable information about a defendant's risk of re-offending to inform sentencing decisions.",,Reliability,Yes
A18,US4,O1-mini,developer,"As a software developer, I want to utilize TensorFlow to train and validate the CNN models, so that I can ensure the system performs reliably and meets clinical standards.",,Reliability,Yes
A27,US7,Gemini,marketing professional,"As a marketer, I want to use session-based recommendations to personalize product suggestions and increase conversion rates on my website.",,,No
A3,US5,Gemini,mental health professional,"As a mental health professional, I want to identify individuals who exhibit aggressive behavior online so that I can offer them support and resources.",,,No
A32,US5,Gemini,social media moderator,"As a social media moderator, I want to prioritize content for review based on the intensity of a user's stance (e.g., strongly against vs. mildly disagreeing).",,,No
A6,US2,Gemini,engineer,"As an engineer developing ADAS systems, I want a reliable method to recognize driver intention and driving behavior, allowing for a more personalized and human-like response from the system.",,Reliability,Yes
A4,US4,O1-mini,cybersecurity expert,"As a cybersecurity analyst, I want AI-powered drones to detect and respond to cyber threats autonomously, so that our defense systems remain secure against digital attacks.",,,No
A15,US5,O1-mini,financial advisor,"As a financial planner, I want to leverage income forecasting tools, so that I can provide personalized financial advice to clients based on predicted income levels and lifestyle choices.",,,No
A37,US8,Llama,player,"As a fantasy sports player, I want to identify undervalued players and hidden gems using statistical analysis, so that I can gain a competitive advantage.",,,No
A26,US2,O1-mini,developer,"As a recommendation system developer, I want to implement extractive methods to identify relevant review segments, so that the system can generate accurate and meaningful justifications for recommendations.",,Accuracy,Yes
A29,US2,Llama,researcher,"As a researcher, I want a standard and transparent census matching technique for constructing linked samples, so that I can confidently rely on the accuracy of my research results and reproduce the methodology across different cases.",Transparency,Accuracy -  Reproducibility,Yes
A30,US6,O1-mini,developer,"As a blockchain developer, I want to explore the integration of distributed ledger technology in predictive criminology, so that I can enhance the transparency and security of recidivism data.",Transparency -  Non-maleficence(Security),Transparency -  Security,Yes
A2,US7,O1-mini,data scientist,"As a data scientist, I want the machine learning model to accurately distinguish between aggressive and non-aggressive activities, so the system reliably identifies true aggression incidents.",,,No
A6,US6,Gemini,human-factors specialist,"As a human-factors specialist, I want to ensure that driver intention recognition in ADAS prioritizes human control and reduces the potential for automation over-reliance.",Autonomy,,No
A17,US9,Gemini,marketing professional,"As a medical device marketer, I need to highlight the capabilities of our new sleep apnea prediction technology, focusing on its accuracy and the benefits it offers to both patients and clinicians.",,,No
A14,US7,O1-mini,advocate,"As a public transportation advocate, I want to visualize ridership shifts over time, so that I can advocate for balanced transportation options across all boroughs.",Justice/Fairness,,No
A2,US9,Gemini,advocate,"As a data privacy advocate, I want assurances that any wearable device used for aggression detection collects data securely and protects children's privacy.",Privacy - Non-maleficence(Security),Privacy - Security,Yes
A6,US9,Gemini,regulator,"As a regulator overseeing ADAS safety, I want rigorous testing and validation procedures to ensure that driver intention recognition systems are reliable and contribute to overall driving safety.",,Reliability -  Safety -  Testability,Yes
A21,US8,O1-mini,advocate,"As an anti-discrimination advocate, I want to highlight findings of bias in online freelance marketplaces, so that awareness is raised and corrective actions are encouraged.",Justice/fairness - Transparency,,No
A42,US3,Llama,data scientist,"As a health department staff member, I want to receive real-time recommendations for mobile vaccination site placement in Virginia that target under-vaccinated populations.",,Performance,Yes
A5,US1,O1-mini,nurse,"As a nurse, I want the GoCart to deliver blood and urine samples to the pathology lab, so I can save time and reduce manual handling of specimens.",,Efficiency - Safety,Yes
A5,US1,Llama,lab technician,"As a Pathology Laboratory Staff Member, I want to easily and efficiently deliver blood and urine samples using the GoCart robot so that I can reduce my workload and focus on other tasks.",,Efficiency -  Usability,Yes
A6,US6,Llama,engineer,"As a control systems engineer, I want to use the recognized driver behavior and intention to optimize the control design of forward collision avoidance (FCA) systems for improved performance.",,,No
A33,US1,Llama,journalist,"As a journalist, I want to be able to quickly and easily find relevant contextual background information when writing a news story, so that I can provide a more informed and comprehensive article.",,Efficiency  -  Completeness,Yes
A1,US10,Gemini,company,"As a delivery company, I want to explore the use of AVs for efficient and cost-effective last-mile delivery services.",,,No
A40,US7,Llama,analyst,"As a security analyst, I want to be able to evaluate the efficiency of the anomaly model using metrics such as sensitivity, specificity, and overall accuracy, so that I can improve the model's performance.",,Testability -  Performance -  Accuracy,Yes
A20,US4,O1-mini,policymaker,"As a policymaker, I want to understand the impact of sensation seeking and environmental factors on drug abuse, so that I can develop effective policies to mitigate these risks.",,,No
A30,US4,O1-mini,policymaker,"As a policymaker, I want insights from recidivism prediction models, so that I can formulate effective criminal justice policies aimed at reducing repeat offenses.",Beneficence -  Non-maleficence,,No
A15,US2,Gemini,social worker,"As a social worker, I want to use a tool that predicts income levels to help me assess the needs of my clients and connect them with appropriate support services.",Beneficence,,No
A1,US1,Gemini,driver,"As a driver, I want a car that uses AI and real-time data to react faster than humans in emergency situations, reducing my risk of accidents.",,Performance,Yes
A29,US5,Gemini,data scientist,"As a data scientist working with historical data, I want a user-friendly and efficient method for linking records across different databases, minimizing errors and biases.",,Usability -  Efficiency,Yes
A23,US6,O1-mini,policymaker,"As a policy maker, I want to understand the influence of search engine rankings on public opinion, so that I can develop regulations that promote transparency and fairness.",Justice/fairness - Transparency,,No
A28,US5,O1-mini,machine learning engineer,"As a machine learning engineer, I want to develop a random forest regression-based reciprocal recommender, so that our system can achieve high match prediction accuracy and outperform existing algorithms.",,Accuracy,Yes
A32,US9,Llama,researcher,"As a researcher, I want to investigate the interaction between sentiment and stance, while considering the impact of sarcasm, so that I can gain a deeper understanding of human opinions and attitudes.",,,No
A12,US3,Llama,community leader,"As a community leader, I want to use the FVVI to predict where rates of firearm violence are highest in my city, so that I can target prevention efforts and allocate resources effectively.",Beneficence,,No
A42,US10,Llama,researcher,"As a policy maker, I want to see a comparison of the number of vaccine doses administered at sites placed using our model versus those placed without our recommendations so that I can evaluate the model's effectiveness.",,,No
A18,US3,O1-mini,administrator,"As a healthcare administrator, I want to integrate the proposed CNN classification method into our clinical workflow, so that we can enhance early diagnosis and improve patient outcomes for multiple chest diseases.",Beneficence,Interoperability,Yes
A13,US1,Llama,researcher,"As a researcher, I want to develop a novel prediction framework to identify potential repurposed drug therapies for Alzheimer's disease (AD), so that I can contribute to the discovery of effective treatments for this complex disease.",,,No
A23,US3,O1-mini,data scientist,"As a data scientist, I want to leverage PAWS to measure content emphasis across search engines, so that I can study the correlation between search rankings and content features.",,,No
A3,US1,O1-mini,moderator,"As a social media moderator, I want real-time alerts of aggressive tweets, so I can promptly address and remove harmful content.",,Performance,Yes
A19,US3,Llama,analyst,"As a data analyst, I want to evaluate the performance of different machine learning models, including logistic regression, decision tree, and random forest, to predict credit card default and identify the best approach.",,,No
A31,US4,Llama,parent,"As a parent, I want to be able to block advertisements on internet pages that are not suitable for my children, so that I can ensure their online safety.",,Safety,Yes
A41,US2,Llama,developer,"As a developer of food recognition systems, I need a comprehensive benchmark dataset to test and evaluate my algorithms, so that I can ensure the reliability and effectiveness of my system.",Justice/fairness ,Completeness - Testability - Reliability,Yes
