Unnamed: 0,Id,LLM,role_shorten,story,Implied ethical needs,nfr_type,label
A30,US2,Gemini,officer,"As a parole officer, I want to use data-driven insights to assess the risk of recidivism for each parolee and tailor my supervision and support plans accordingly.",,,No
A26,US7,Llama,customer,"As a customer, I want to see diverse justifications for recommended products, so that I can get a more comprehensive understanding of the product's benefits and features.",Transparency,Completeness,Yes
A4,US5,O1-mini,logistics coordinator,"As a logistics coordinator, I want autonomous drones to manage supply deliveries in combat zones, so that frontline units receive necessary resources promptly.",,Efficiency -  Reliability,Yes
A27,US2,Llama,online retailer,"As an online retailer, I want to provide accurate recommendations to my customers even when I don't have access to long-term user history, so I want to use a session-based approach that can capture the context of the current session.",,Accuracy,Yes
A37,US3,O1-mini,analyst,"As a data analyst, I want to utilize data from the Fantasy Premier League (FPL) API, so that I can generate actionable insights for improving player investment strategies.",,,No
A28,US4,Llama,user,"As a user of a dating recommender system, I want the system to construct an objective profile library based on ratings from actual dating partners, so that I can trust the accuracy of the matches suggested.",Trust,Reliability,Yes
A8,US6,Gemini,researcher,"As a researcher evaluating the system, I want access to performance metrics comparing the effectiveness of K-means and K-medoids for anomaly detection in healthcare data.",,Testability -  Performance,Yes
A25,US7,O1-mini,manager,"As an e-commerce manager, I want to analyze the performance of the item-to-item collaborative filtering algorithm, so that I can ensure it consistently delivers relevant and accurate product suggestions to our customers.",,Accuracy  -  Performance,Yes
A8,US10,Gemini,advocate,"As a patient advocate, I want to be assured that the anomaly detection system is constantly monitored and improved to minimize false alarms and ensure timely detection of real health concerns.",Beneficence - Non-maleficence,Reliability -  Accuracy -  Maintainability,Yes
A17,US7,Gemini,healthcare policy advisor,"As a healthcare policy advisor, I want to understand the potential impact of predictive technologies on managing sleep apnea, to advocate for funding and research that support non-invasive management strategies.",,,No
A40,US2,O1-mini,analyst,"As a cybersecurity analyst, I want to implement anomaly detection models based on historical login data, so that I can effectively identify and prevent compromised accounts.",Security/Non-maleficence,,No
A22,US5,Gemini,researcher,"As a researcher studying online labor markets, I want to understand how different factors, such as past job performance and skills, influence the success of freelancers.",Transparency,,No
A38,US1,O1-mini,recruiter,"As a recruiter, I want to automatically segregate candidates based on eligibility criteria, so that I can efficiently shortlist suitable applicants without manual effort.",,Efficiency,Yes
A7,US4,O1-mini,school counselor,"As a school counselor, I want to monitor the mental health of high school students through AI insights, so I can address issues like stress and anxiety early.",,,No
A34,US5,Gemini,product manager,"As a project manager in cybersecurity, I aim to oversee a research project that systematically updates and benchmarks malware datasets, ensuring that our IDS remains effective against the latest threats.",,,No
A7,US3,O1-mini,researcher,"As a researcher, I want to analyze data from various target groups using machine learning algorithms, so I can identify trends and improve mental health interventions.",,,No
A41,US10,Gemini,user,"As a user, I want the food recognition system to be reliable and accurate across a variety of different food types and images.",Justice/fairness ,Reliability - Accuracy,Yes
A7,US9,Gemini,developer,"As a developer of the mobile app for the tool, I want to develop a user-friendly interface that is culturally sensitive and inclusive for diverse target groups.",Justice/fairness,Usability - Accessibility,Yes
A10,US6,Llama,analyst,"As a data analyst, I want to analyze blood glucose-specific data to train a Support Vector Regression model, so that I can improve the accuracy of predictions and reduce false alarms.",,Accuracy,Yes
A36,US3,Gemini,officer,"As a law enforcement officer, I want to use vehicle classification data to identify suspicious vehicles and track their movements, enhancing public safety and security.",Privacy - Justice/fairness - Non-maleficence,,No
A29,US1,Gemini,economic historian,"As an economic historian, I want to analyze the long-term effects of early life conditions on individuals' later life outcomes, but I need a reliable way to track individuals across historical census records.",,,No
A27,US4,O1-mini,machine learning engineer,"As a machine learning engineer, I want to incorporate a ranking loss function into our RNN model, so that the recommendations are better aligned with user preferences and .",,,No
A37,US8,Gemini,policymaker,"As a sports journalist or content creator, I want to use fantasy sports analytics to generate engaging and informative content for fans, such as player profiles, team analysis, and fantasy advice.",,,No
A32,US8,Gemini,linguist,"As a linguist, I want the system to be customizable to analyze stances in different languages and cultural contexts, accounting for sarcasm and humor.",Justice/fairness,Adaptability -  Flexibility,Yes
A13,US4,Gemini,computational biologist,"As a computational biologist, I want to access the underlying network model and data used in AI-DrugNet to understand the rationale behind the predicted drug repurposing or combinations.",Transparency,Explainability -  Interpretability,Yes
